x	rho	u	p
0.875622	0.125	1.84173e-07	0.1
0.880597	0.125	7.5851e-09	0.1
0.885572	0.125	1.80635e-10	0.1
0.890547	0.125	7.42303e-12	0.1
0.895522	0.125	2.0324e-13	0.1
0.900498	0.125	6.67902e-15	0.1
0.905473	0.125	1.8745e-16	0.1
0.910448	0.125	0	0.1
0.915423	0.125	0	0.1
0.920398	0.125	0	0.1
0.925373	0.125	0	0.1
0.930348	0.125	0	0.1
0.935323	0.125	0	0.1
0.940299	0.125	0	0.1
0.945274	0.125	0	0.1
0.950249	0.125	0	0.1
0.955224	0.125	0	0.1
0.960199	0.125	0	0.1
0.965174	0.125	0	0.1
0.970149	0.125	0	0.1
0.975124	0.125	0	0.1
0.9801	0.125	0	0.1
0.985075	0.125	0	0.1
0.99005	0.125	0	0.1
0.995025	0.125	0	0.1
