x	rho	u	p
0	1	0	1
0.01	0.999999	9.16382e-07	0.999999
0.02	0.999999	1.96185e-06	0.999998
0.03	0.999997	3.94583e-06	0.999996
0.04	0.999994	7.71114e-06	0.999992
0.05	0.999989	1.47429e-05	0.999985
0.06	0.99998	2.76113e-05	0.999971
0.07	0.999963	5.06565e-05	0.999947
0.08	0.999933	9.10132e-05	0.999905
0.09	0.999882	0.000160082	0.999832
0.1	0.999796	0.000275546	0.99971
0.11	0.999655	0.000463985	0.99951
0.12	0.999429	0.000764061	0.999189
0.13	0.999076	0.0012301	0.998689
0.14	0.998538	0.0019357	0.997927
0.15	0.99774	0.00297682	0.996798
0.16	0.996586	0.00447363	0.995168
0.17	0.99496	0.0065704	0.992874
0.18	0.992728	0.00943275	0.989733
0.19	0.989745	0.0132422	0.985541
0.2	0.985856	0.018188	0.98009
0.21	0.98091	0.0244576	0.97318
0.22	0.974771	0.0322261	0.96463
0.23	0.967319	0.0416468	0.954295
0.24	0.958469	0.0528442	0.942077
0.25	0.948166	0.0659085	0.927927
0.26	0.936394	0.0808946	0.911853
0.27	0.923171	0.0978229	0.893914
0.28	0.908547	0.116683	0.874215
0.29	0.892602	0.137438	0.852899
0.3	0.875432	0.16003	0.830137
0.31	0.857153	0.184388	0.806117
0.32	0.837887	0.21043	0.781039
0.33	0.817761	0.238069	0.755101
0.34	0.7969	0.267219	0.728498
0.35	0.775428	0.297793	0.701415
0.36	0.753459	0.329713	0.674023
0.37	0.731102	0.362903	0.646481
0.38	0.708457	0.397298	0.618928
0.39	0.685612	0.432839	0.591489
0.4	0.662648	0.469479	0.564274
0.41	0.639634	0.50718	0.537373
0.42	0.616632	0.545913	0.510867
0.43	0.593692	0.585664	0.484817
0.44	0.570857	0.626431	0.459276
0.45	0.548159	0.668228	0.43428
0.46	0.525621	0.711086	0.409854
0.47	0.503256	0.755057	0.386014
0.48	0.481075	0.800197	0.36277
0.49	0.45912	0.846492	0.340165
0.5	0.437674	0.89331	0.318491
0.51	0.419217	0.934502	0.300247
0.52	0.420016	0.932088	0.301275
0.53	0.420182	0.931074	0.301708
0.54	0.420108	0.930516	0.301946
0.55	0.419885	0.930159	0.3021
0.56	0.419523	0.929906	0.302208
0.57	0.418983	0.929716	0.302288
0.58	0.418177	0.929572	0.302347
0.59	0.416945	0.929465	0.302385
0.6	0.415047	0.929396	0.302402
0.61	0.412157	0.929367	0.302394
0.62	0.407894	0.929384	0.302356
0.63	0.401882	0.929453	0.302285
0.64	0.393847	0.929578	0.302179
0.65	0.383704	0.929758	0.302043
0.66	0.371632	0.929983	0.301889
0.67	0.358082	0.930228	0.301737
0.68	0.343727	0.930451	0.301614
0.69	0.329346	0.930603	0.301545
0.7	0.315702	0.930631	0.301545
0.71	0.303416	0.930499	0.301613
0.72	0.292899	0.930188	0.30173
0.73	0.284323	0.929689	0.301857
0.74	0.277645	0.928981	0.301942
0.75	0.272653	0.927994	0.301915
0.76	0.269023	0.926561	0.301685
0.77	0.266366	0.924363	0.301119
0.78	0.264256	0.920849	0.300021
0.79	0.262239	0.91513	0.298083
0.8	0.25981	0.905817	0.294838
0.81	0.256378	0.890807	0.289604
0.82	0.25123	0.867021	0.28144
0.83	0.24353	0.830163	0.269178
0.84	0.232416	0.774706	0.25165
0.85	0.217314	0.694604	0.228235
0.86	0.198511	0.585671	0.199803
0.87	0.177781	0.450698	0.169529
0.88	0.158334	0.305726	0.14237
0.89	0.143336	0.178393	0.122478
0.9	0.13392	0.0901417	0.110614
0.91	0.128974	0.0409593	0.104637
0.92	0.12668	0.0174759	0.10194
0.93	0.12569	0.00721285	0.100793
0.94	0.125279	0.00292439	0.10032
0.95	0.125112	0.00117248	0.100128
0.96	0.125044	0.000465745	0.100051
0.97	0.125018	0.000182651	0.10002
0.98	0.125007	6.85999e-05	0.100008
0.99	0.125	0	0.1
