x	rho	u	p
0.80597	0.264738	0.924272	0.301938
0.810945	0.264303	0.922273	0.301206
0.81592	0.26358	0.918981	0.300005
0.820896	0.262389	0.913577	0.298043
0.825871	0.260444	0.904724	0.294857
0.830846	0.25729	0.890251	0.289724
0.835821	0.252223	0.866632	0.281539
0.840796	0.244181	0.828149	0.26869
0.845771	0.231662	0.76562	0.249021
0.850746	0.212852	0.664942	0.22023
0.855721	0.186915	0.509548	0.182038
0.860697	0.15837	0.306297	0.142134
0.865672	0.137808	0.128275	0.115259
0.870647	0.128755	0.038963	0.104293
0.875622	0.125966	0.0101127	0.101087
0.880597	0.125238	0.00249717	0.100267
0.885572	0.125058	0.000608566	0.100065
0.890547	0.125014	0.000147802	0.100016
0.895522	0.125003	3.58605e-05	0.100004
0.900498	0.125001	8.6968e-06	0.100001
0.905473	0.125	2.10845e-06	0.1
0.910448	0.125	5.1101e-07	0.1
0.915423	0.125	1.23807e-07	0.1
0.920398	0.125	2.99848e-08	0.1
0.925373	0.125	7.25896e-09	0.1
0.930348	0.125	1.75649e-09	0.1
0.935323	0.125	4.24809e-10	0.1
0.940299	0.125	1.02681e-10	0.1
0.945274	0.125	2.48029e-11	0.1
0.950249	0.125	5.98642e-12	0.1
0.955224	0.125	1.44337e-12	0.1
0.960199	0.125	3.4705e-13	0.1
0.965174	0.125	8.30515e-14	0.1
0.970149	0.125	1.93587e-14	0.1
0.975124	0.125	4.01902e-15	0.1
0.9801	0.125	5.66813e-16	0.1
0.985075	0.125	3.34732e-17	0.1
0.99005	0.125	0	0.1
0.995025	0.125	0	0.1
