x	rho	u	p
0.830846	0.265034	0.925206	0.302291
0.835821	0.264081	0.921017	0.300697
0.840796	0.260846	0.906867	0.295352
0.845771	0.249823	0.857332	0.277448
0.850746	0.215654	0.681574	0.224236
0.855721	0.150392	0.209102	0.131919
0.860697	0.12609	0.00522456	0.101223
0.865672	0.125032	0.000185426	0.100036
0.870647	0.125001	8.17395e-06	0.100001
0.875622	0.125	1.22772e-07	0.1
0.880597	0.125	6.75128e-09	0.1
0.885572	0.125	2.94809e-10	0.1
0.890547	0.125	2.129e-12	0.1
0.895522	0.125	2.70787e-13	0.1
0.900498	0.125	1.01915e-14	0.1
0.905473	0.125	-1.38356e-16	0.1
0.910448	0.125	-8.92619e-18	0.1
0.915423	0.125	0	0.1
0.920398	0.125	0	0.1
0.925373	0.125	0	0.1
0.930348	0.125	0	0.1
0.935323	0.125	0	0.1
0.940299	0.125	0	0.1
0.945274	0.125	0	0.1
0.950249	0.125	0	0.1
0.955224	0.125	0	0.1
0.960199	0.125	0	0.1
0.965174	0.125	0	0.1
0.970149	0.125	0	0.1
0.975124	0.125	0	0.1
0.9801	0.125	0	0.1
0.985075	0.125	0	0.1
0.99005	0.125	0	0.1
0.995025	0.125	0	0.1
