x	rho	u	p
0.791045	0.2643	0.923258	0.302254
0.79602	0.26419	0.921598	0.301743
0.800995	0.263881	0.919436	0.300923
0.80597	0.263207	0.916494	0.299681
0.810945	0.261981	0.912461	0.297824
0.81592	0.259993	0.906813	0.295147
0.820896	0.25708	0.898314	0.291484
0.825871	0.252981	0.885496	0.28656
0.830846	0.247323	0.866517	0.279913
0.835821	0.239653	0.839108	0.270867
0.840796	0.229539	0.800271	0.258566
0.845771	0.21685	0.745216	0.242244
0.850746	0.201489	0.668163	0.221346
0.855721	0.183955	0.563324	0.19614
0.860697	0.165922	0.430471	0.168446
0.865672	0.15	0.284371	0.14219
0.870647	0.138215	0.157203	0.122074
0.875622	0.131152	0.0735999	0.109996
0.880597	0.127583	0.0307689	0.104113
0.885572	0.126018	0.0121264	0.101611
0.890547	0.125394	0.00465625	0.100617
0.895522	0.125152	0.0017688	0.100234
0.900498	0.125057	0.000668953	0.100089
0.905473	0.125022	0.000252479	0.100033
0.910448	0.125008	9.51807e-05	0.100013
0.915423	0.125003	3.58483e-05	0.100005
0.920398	0.125001	1.34888e-05	0.100002
0.925373	0.125	5.06985e-06	0.100001
0.930348	0.125	1.90304e-06	0.1
0.935323	0.125	7.1324e-07	0.1
0.940299	0.125	2.66843e-07	0.1
0.945274	0.125	9.96345e-08	0.1
0.950249	0.125	3.7119e-08	0.1
0.955224	0.125	1.3795e-08	0.1
0.960199	0.125	5.11315e-09	0.1
0.965174	0.125	1.88976e-09	0.1
0.970149	0.125	6.96281e-10	0.1
0.975124	0.125	2.55702e-10	0.1
0.9801	0.125	9.35768e-11	0.1
0.985075	0.125	3.41192e-11	0.1
0.99005	0.125	0	0.1
0.995025	0.125	0	0.1
