x	rho	u	p
0	1	0	1
0.00497512	1	0	1
0.00995025	1	6.3888e-12	1
0.0149254	1	1.36958e-11	1
0.0199005	1	2.90522e-11	1
0.0248756	1	6.09735e-11	1
0.0298507	1	1.26596e-10	1
0.0348259	1	2.59999e-10	1
0.039801	1	5.28138e-10	1
0.0447761	1	1.06096e-09	1
0.0497512	1	2.10758e-09	1
0.0547264	1	4.1395e-09	1
0.0597015	1	8.03792e-09	1
0.0646766	1	1.54284e-08	1
0.0696517	1	2.92701e-08	1
0.0746269	1	5.48786e-08	1
0.079602	1	1.01673e-07	1
0.0845771	1	1.8611e-07	1
0.0895522	1	3.36547e-07	1
0.0945274	0.999999	6.01138e-07	0.999999
0.0995025	0.999999	1.06046e-06	0.999999
0.104478	0.999998	1.84735e-06	0.999998
0.109453	0.999997	3.17742e-06	0.999996
0.114428	0.999995	5.39522e-06	0.999994
0.119403	0.999992	9.04252e-06	0.999989
0.124378	0.999987	1.49572e-05	0.999982
0.129353	0.999979	2.44135e-05	0.999971
0.134328	0.999967	3.93149e-05	0.999953
0.139303	0.999947	6.24553e-05	0.999926
0.144279	0.999917	9.78589e-05	0.999884
0.149254	0.999872	0.000151211	0.999821
0.154229	0.999805	0.000230389	0.999727
0.159204	0.999708	0.000346075	0.999591
0.164179	0.999567	0.000512458	0.999394
0.169154	0.999368	0.000747962	0.999115
0.174129	0.999091	0.00107596	0.998728
0.179104	0.998711	0.0015254	0.998196
0.18408	0.9982	0.00213123	0.997481
0.189055	0.997522	0.00293458	0.996533
0.19403	0.996638	0.0039825	0.995297
0.199005	0.995504	0.00532736	0.993713
0.20398	0.994073	0.00702568	0.991716
0.208955	0.992297	0.00913663	0.989238
0.21393	0.990127	0.0117201	0.986212
0.218905	0.987514	0.0148347	0.982575
0.223881	0.984416	0.0185355	0.978269
0.228856	0.980795	0.022872	0.973242
0.233831	0.97662	0.0278865	0.967457
0.238806	0.971868	0.0336131	0.960887
0.243781	0.966525	0.0400763	0.953516
0.248756	0.960587	0.0472914	0.945345
0.253731	0.954058	0.055264	0.936386
0.258706	0.946949	0.0639913	0.926662
0.263682	0.939279	0.0734626	0.916206
0.268657	0.931075	0.0836607	0.905061
0.273632	0.922365	0.0945625	0.893274
0.278607	0.913185	0.106141	0.880901
0.283582	0.903569	0.118366	0.867995
0.288557	0.893555	0.131206	0.854616
0.293532	0.883181	0.144626	0.840821
0.298507	0.872485	0.158594	0.826666
0.303483	0.861504	0.173075	0.812207
0.308458	0.850273	0.188037	0.797495
0.313433	0.838826	0.20345	0.782581
0.318408	0.827194	0.219282	0.767511
0.323383	0.815409	0.235505	0.752327
0.328358	0.803497	0.252093	0.73707
0.333333	0.791485	0.26902	0.721774
0.338308	0.779395	0.286264	0.706474
0.343284	0.767251	0.303803	0.691199
0.348259	0.755072	0.321617	0.675976
0.353234	0.742875	0.339687	0.660829
0.358209	0.730679	0.357997	0.645779
0.363184	0.718496	0.376532	0.630846
0.368159	0.706342	0.395277	0.616046
0.373134	0.694227	0.41422	0.601395
0.378109	0.682164	0.433348	0.586905
0.383085	0.670162	0.452652	0.572588
0.38806	0.65823	0.47212	0.558453
0.393035	0.646375	0.491745	0.54451
0.39801	0.634606	0.511517	0.530766
0.402985	0.622928	0.531431	0.517228
0.40796	0.611347	0.551477	0.503899
0.412935	0.599868	0.571651	0.490785
0.41791	0.588496	0.591947	0.47789
0.422886	0.577235	0.612359	0.465216
0.427861	0.566089	0.632882	0.452766
0.432836	0.555061	0.65351	0.440542
0.437811	0.544155	0.674239	0.428546
0.442786	0.533375	0.695063	0.41678
0.447761	0.522723	0.715974	0.405245
0.452736	0.512205	0.736965	0.393943
0.457711	0.501826	0.758022	0.38288
0.462687	0.491594	0.77913	0.37206
0.467662	0.481521	0.800259	0.361493
0.472637	0.471628	0.821364	0.351199
0.477612	0.461949	0.842361	0.341208
0.482587	0.45255	0.863096	0.331583
0.487562	0.443559	0.883257	0.32245
0.492537	0.435252	0.902179	0.314077
0.497512	0.428222	0.918407	0.307046
0.502488	0.423573	0.929222	0.302436
0.507463	0.422151	0.932468	0.301065
0.512438	0.42249	0.931543	0.301456
0.517413	0.422869	0.930519	0.301889
0.522388	0.423131	0.929763	0.302209
0.527363	0.423294	0.929233	0.302434
0.532338	0.423358	0.928927	0.302564
0.537313	0.423336	0.928814	0.302612
0.542289	0.423271	0.928791	0.302623
0.547264	0.423218	0.928728	0.30265
0.552239	0.423205	0.928554	0.302724
0.557214	0.423216	0.928309	0.302828
0.562189	0.423197	0.928117	0.30291
0.567164	0.423098	0.928092	0.302921
0.572139	0.422912	0.92825	0.302855
0.577114	0.422676	0.928498	0.30275
0.58209	0.422453	0.928686	0.302671
0.587065	0.422282	0.928712	0.302661
0.59204	0.422156	0.928579	0.302718
0.597015	0.422033	0.928365	0.302809
0.60199	0.421862	0.928154	0.302899
0.606965	0.421595	0.927993	0.302967
0.61194	0.42119	0.927878	0.303016
0.616915	0.420598	0.927775	0.303061
0.621891	0.419738	0.927659	0.30311
0.626866	0.418485	0.927553	0.303156
0.631841	0.416674	0.927513	0.303173
0.636816	0.414131	0.927584	0.303143
0.641791	0.4107	0.927756	0.303072
0.646766	0.406264	0.927964	0.302986
0.651741	0.400746	0.928121	0.302922
0.656716	0.394114	0.928164	0.302905
0.661692	0.386381	0.928084	0.302939
0.666667	0.377625	0.927906	0.303011
0.671642	0.367998	0.927678	0.303102
0.676617	0.357718	0.927459	0.303187
0.681592	0.347052	0.927324	0.303239
0.686567	0.336304	0.927325	0.303237
0.691542	0.325793	0.927451	0.303188
0.696517	0.31583	0.927621	0.303123
0.701493	0.306671	0.927736	0.30308
0.706468	0.298496	0.927739	0.303078
0.711443	0.291399	0.92763	0.303114
0.716418	0.285399	0.927448	0.303174
0.721393	0.280459	0.927233	0.303244
0.726368	0.276495	0.92702	0.30331
0.731343	0.273394	0.926848	0.303359
0.736318	0.271021	0.926764	0.303375
0.741294	0.269242	0.926797	0.303346
0.746269	0.267933	0.92694	0.303272
0.751244	0.266991	0.927156	0.303162
0.756219	0.266332	0.927379	0.303034
0.761194	0.265886	0.927529	0.302906
0.766169	0.265596	0.927541	0.302788
0.771144	0.265411	0.927376	0.302677
