x	U	
0	1
0.5	0.99993
1	0.999635
1.5	0.999555
2	0.998492
2.5	0.998411
3	0.995385
3.5	0.995315
4	0.987876
4.5	0.987813
5	0.971641
5.5	0.971501
6	0.940134
6.5	0.939295
7	0.884381
7.5	0.878905
8	0.788411
8.5	0.756034
9	0.593407
9.5	0.419788
