x	U	
0	1
0.5	0.999993
1	0.999972
1.5	0.99996
2	0.999886
2.5	0.999863
3	0.999661
3.5	0.999605
4	0.999094
4.5	0.998911
5	0.997647
5.5	0.996916
6	0.993626
6.5	0.9905
7	0.980843
7.5	0.967358
8	0.934551
8.5	0.87677
9	0.751839
9.5	0.50643
