x	U	
0	1
0.5	0.999927
1	0.999877
1.5	0.999558
2	0.999494
2.5	0.998527
3	0.998454
3.5	0.995979
4	0.995891
4.5	0.990247
5	0.990073
5.5	0.978353
6	0.977624
6.5	0.954967
7	0.951119
7.5	0.908161
8	0.888275
8.5	0.797784
9	0.700692
9.5	0.450361
