x	U	
0	1
0.5	0.999991
1	0.999982
1.5	0.999944
2	0.999928
2.5	0.999812
3	0.999779
3.5	0.999475
4	0.999377
4.5	0.998619
5	0.998256
5.5	0.996326
6	0.994808
6.5	0.989427
7	0.982898
7.5	0.965636
8	0.937599
8.5	0.87453
9	0.755113
9.5	0.50486
