x	U	
0	1
0.5	0.999916
1	0.999544
1.5	0.999457
2	0.998074
2.5	0.997996
3	0.993954
3.5	0.993896
4	0.983784
4.5	0.983744
5	0.96165
5.5	0.961579
6	0.919166
6.5	0.918668
7	0.846727
7.5	0.842922
8	0.732374
8.5	0.706989
9	0.533773
9.5	0.384717
