x	U	
0	1
0.5	0.999997
1	0.999987
1.5	0.99998
2	0.999947
2.5	0.999931
3	0.999834
3.5	0.999784
4	0.999519
4.5	0.999328
5	0.998578
5.5	0.997797
6	0.995469
6.5	0.992173
7	0.984099
7.5	0.970139
8	0.939446
8.5	0.880483
9	0.75714
9.5	0.509069
