x	U	
0	1
0.5	0.999923
1	0.999591
1.5	0.999506
2	0.998292
2.5	0.998212
3	0.994714
3.5	0.994649
4	0.985982
4.5	0.98593
5	0.967046
5.5	0.966943
6	0.930505
6.5	0.929843
7	0.86705
7.5	0.862408
8	0.762506
8.5	0.733506
9	0.565724
9.5	0.403654
