x	U	
0	1
0.5	0.99996
1	0.999806
1.5	0.999751
2	0.999219
2.5	0.999153
3	0.99769
3.5	0.997612
4	0.994096
4.5	0.99398
5	0.98634
5.5	0.985983
6	0.970671
6.5	0.968917
7	0.939591
7.5	0.930475
8	0.871902
8.5	0.826654
9	0.683655
9.5	0.470515
