x	U	
0	1
0.5	0.999936
1	0.999676
1.5	0.9996
2	0.998672
2.5	0.998593
3	0.995976
3.5	0.995902
4	0.98951
4.5	0.989435
5	0.975562
5.5	0.975381
6	0.948325
6.5	0.9473
7	0.899165
7.5	0.892876
8	0.810642
8.5	0.775153
9	0.617301
9.5	0.433505
