x	U	
0	1
0.5	0.999997
1	0.999989
1.5	0.999982
2	0.999953
2.5	0.999937
3	0.999851
3.5	0.999801
4	0.99956
4.5	0.999368
5	0.998667
5.5	0.997881
6	0.995644
6.5	0.992331
7	0.984407
7.5	0.9704
8	0.939908
8.5	0.88083
9	0.75764
9.5	0.509315
