x	U	
0	1
0.5	0.999996
1	0.999991
1.5	0.999974
2	0.999964
2.5	0.99991
3	0.999882
3.5	0.999731
4	0.999634
4.5	0.99921
5	0.998825
5.5	0.997557
6	0.99595
6.5	0.991734
7	0.984935
7.5	0.969431
8	0.940687
8.5	0.879559
9	0.758474
9.5	0.50842
