x	U	
0	1
0.5	0.999957
1	0.999926
1.5	0.999743
2	0.999698
2.5	0.999154
3	0.999094
3.5	0.997713
4	0.997618
4.5	0.994462
5	0.994211
5.5	0.987497
6	0.986449
6.5	0.972612
7	0.967609
7.5	0.937677
8	0.914031
8.5	0.83723
9	0.729202
9.5	0.478373
