x	U	
0	1
0.5	0.99991
1	0.999496
1.5	0.999408
2	0.997838
2.5	0.997765
3	0.993097
3.5	0.993047
4	0.981234
4.5	0.981204
5	0.955299
5.5	0.955254
6	0.905784
6.5	0.905433
7	0.822889
7.5	0.819902
8	0.697412
8.5	0.675832
9	0.497085
9.5	0.362558
