x	U	
0	1
0.5	0.999985
1	0.999686
1.5	0.999686
2	0.996935
2.5	0.996935
3	0.981935
3.5	0.981935
4	0.92828
4.5	0.92828
5	0.796664
5.5	0.796664
6	0.572463
6.5	0.572463
7	0.310579
7.5	0.310579
8	0.109831
8.5	0.109831
9	0.0186406
9.5	0.0186406
