x	U	
0	1
0.5	0.999998
1	0.999994
1.5	0.999989
2	0.999972
2.5	0.999959
3	0.999906
3.5	0.999857
4	0.999693
4.5	0.999499
5	0.998956
5.5	0.998153
6	0.996213
6.5	0.992843
7	0.985407
7.5	0.971242
8	0.941404
8.5	0.881948
9	0.759256
9.5	0.510107
