x	U	
0	1
0.5	0.999936
1	0.999891
1.5	0.999613
2	0.999555
2.5	0.998717
3	0.998647
3.5	0.99651
4	0.996419
4.5	0.991548
5	0.991353
5.5	0.981193
6	0.980377
6.5	0.960461
7	0.956289
7.5	0.917355
8	0.89637
8.5	0.810063
9	0.709662
9.5	0.459075
