x	U	
0	1
0.5	0.999782
1	0.999704
1.5	0.998439
2	0.998398
2.5	0.993508
3	0.993492
3.5	0.978474
4	0.97847
4.5	0.940944
5	0.940944
5.5	0.864235
6	0.864233
6.5	0.735937
7	0.735867
7.5	0.560957
8	0.559588
8.5	0.365564
9	0.348276
9.5	0.158396
