x	U	
0	1
0.5	0.999789
1	0.999725
1.5	0.998407
2	0.99838
2.5	0.992929
3	0.992922
3.5	0.975402
4	0.975401
4.5	0.930633
5	0.930633
5.5	0.83912
6	0.83912
6.5	0.689468
7	0.689452
7.5	0.494766
8	0.494186
8.5	0.29458
9	0.284334
9.5	0.1159
