x	U	
0	1
0.5	1
1	1
1.5	1
2	1
2.5	0.996175
3	0.996175
3.5	0.957076
4	0.957076
4.5	0.797232
5	0.797232
5.5	0.470487
6	0.470487
6.5	0.136531
7	0.136531
7.5	0
8	0
8.5	0
9	0
9.5	0
