x	U	
0	1
0.5	0.999903
1	0.999341
1.5	0.999275
2	0.996819
2.5	0.996786
3	0.988569
3.5	0.988558
4	0.966146
4.5	0.966143
5	0.915745
5.5	0.915744
6	0.822089
6.5	0.822065
7	0.678456
7.5	0.67796
8	0.49677
8.5	0.490172
9	0.29751
9.5	0.233867
