x	U	
0	1
0.5	1
1	1
1.5	1
2	1
2.5	1
3	1
3.5	0.964551
4	0.964551
4.5	0.747162
5	0.747162
5.5	0.302788
6	0.302788
6.5	0
7	0
7.5	0
8	0
8.5	0
9	0
9.5	0
