x	U	
0	1
0.5	0.999983
1	0.999925
1.5	0.9999
2	0.999703
2.5	0.999664
3	0.999131
3.5	0.999065
4	0.997781
4.5	0.997618
5	0.994731
5.5	0.994128
6	0.987784
6.5	0.985109
7	0.970429
7.5	0.958273
8	0.918797
8.5	0.86453
9	0.734718
9.5	0.497693
