x	U	
0	1
0.5	0.99981
1	0.999764
1.5	0.998437
2	0.998423
2.5	0.992424
3	0.992422
3.5	0.971981
4	0.971981
4.5	0.918259
5	0.918259
5.5	0.808443
6	0.808443
6.5	0.633849
7	0.633849
7.5	0.419712
8	0.419566
8.5	0.220447
9	0.215667
9.5	0.0747919
