x	U	
0	1
0.5	0.999998
1	0.999995
1.5	0.999985
2	0.999978
2.5	0.999946
3	0.999921
3.5	0.999824
4	0.999728
4.5	0.999424
5	0.999031
5.5	0.998
6	0.996358
6.5	0.992561
7	0.985658
7.5	0.970784
8	0.941775
8.5	0.881347
9	0.759653
9.5	0.509684
