x	U	
0	1
0.5	0.999991
1	0.999963
1.5	0.999948
2	0.999851
2.5	0.999825
3	0.99956
3.5	0.999502
4	0.998845
4.5	0.998666
5	0.997099
5.5	0.996394
6	0.992534
6.5	0.9895
7	0.978905
7.5	0.965685
8	0.931626
8.5	0.874526
9	0.748666
9.5	0.504833
