x	U	
0	1
0.5	0.999981
1	0.999914
1.5	0.999885
2	0.999659
2.5	0.999616
3	0.999002
3.5	0.998934
4	0.997456
4.5	0.997299
5	0.994004
5.5	0.993428
6	0.986316
6.5	0.983739
7	0.967798
7.5	0.955946
8	0.914804
8.5	0.861378
9	0.730371
9.5	0.495437
