x	U	
0	1
0.5	0.999964
1	0.99983
1.5	0.999781
2	0.999319
2.5	0.999256
3	0.997992
3.5	0.997915
4	0.99488
4.5	0.994755
5	0.988146
5.5	0.987748
6	0.974382
6.5	0.972464
7	0.946301
7.5	0.936605
8	0.88211
8.5	0.835036
9	0.694763
9.5	0.476538
