x	U	
0	1
0.5	0.999954
1	0.999779
1.5	0.999719
2	0.999106
2.5	0.999036
3	0.997344
3.5	0.997266
4	0.993189
4.5	0.993082
5	0.984235
5.5	0.983922
6	0.96633
6.5	0.964751
7	0.931739
7.5	0.923255
8	0.859964
8.5	0.816771
9	0.670679
9.5	0.463411
