x	U	
0	1
0.5	0.999968
1	0.999852
1.5	0.999807
2	0.999406
2.5	0.999348
3	0.998254
3.5	0.998179
4	0.995556
4.5	0.995424
5	0.989697
5.5	0.989258
6	0.977558
6.5	0.975486
7	0.952036
7.5	0.941814
8	0.890837
8.5	0.842149
9	0.704267
9.5	0.481647
