x	rho	u	p
0.791045	0.26502	0.92653	0.302714
0.79602	0.26487	0.925768	0.302442
0.800995	0.264616	0.924533	0.301997
0.80597	0.264192	0.922541	0.301278
0.810945	0.263497	0.919345	0.300128
0.81592	0.262377	0.914248	0.298301
0.820896	0.260598	0.906174	0.295426
0.825871	0.257814	0.893484	0.290957
0.830846	0.25353	0.873733	0.284118
0.835821	0.247083	0.843408	0.273896
0.840796	0.237691	0.79775	0.259133
0.845771	0.224637	0.730993	0.238881
0.850746	0.207711	0.637724	0.213132
0.855721	0.187854	0.516461	0.183775
0.860697	0.167571	0.375754	0.154929
0.865672	0.15023	0.238015	0.13141
0.870647	0.13812	0.129939	0.115806
0.875622	0.131151	0.06265	0.107234
0.880597	0.1277	0.0278726	0.103131
0.885572	0.126144	0.0118823	0.101317
0.890547	0.125477	0.00496435	0.100547
0.895522	0.125197	0.00205513	0.100226
0.900498	0.125081	0.00084709	0.100093
0.905473	0.125033	0.000348341	0.100038
0.910448	0.125014	0.00014302	0.100016
0.915423	0.125006	5.86428e-05	0.100006
0.920398	0.125002	2.40139e-05	0.100003
0.925373	0.125001	9.81988e-06	0.100001
0.930348	0.125	4.0095e-06	0.1
0.935323	0.125	1.63436e-06	0.1
0.940299	0.125	6.64971e-07	0.1
0.945274	0.125	2.70008e-07	0.1
0.950249	0.125	1.09392e-07	0.1
0.955224	0.125	4.42119e-08	0.1
0.960199	0.125	1.78217e-08	0.1
0.965174	0.125	7.16337e-09	0.1
0.970149	0.125	2.87013e-09	0.1
0.975124	0.125	1.14528e-09	0.1
0.9801	0.125	4.52998e-10	0.1
0.985075	0.125	1.7218e-10	0.1
0.99005	0.125	0	0.1
0.995025	0.125	0	0.1
