x	rho	u	p
0.860697	0.125379	0.00448105	0.100594
0.865672	0.125014	0.000170773	0.100023
0.870647	0.125001	1.13442e-05	0.100002
0.875622	0.125	3.53446e-07	0.1
0.880597	0.125	2.32003e-08	0.1
0.885572	0.125	9.1467e-10	0.1
0.890547	0.125	4.52884e-11	0.1
0.895522	0.125	2.22461e-12	0.1
0.900498	0.125	9.43633e-14	0.1
0.905473	0.125	4.60145e-15	0.1
0.910448	0.125	1.62903e-16	0.1
0.915423	0.125	0	0.1
0.920398	0.125	0	0.1
0.925373	0.125	0	0.1
0.930348	0.125	0	0.1
0.935323	0.125	0	0.1
0.940299	0.125	0	0.1
0.945274	0.125	0	0.1
0.950249	0.125	0	0.1
0.955224	0.125	0	0.1
0.960199	0.125	0	0.1
0.965174	0.125	0	0.1
0.970149	0.125	0	0.1
0.975124	0.125	0	0.1
0.9801	0.125	0	0.1
0.985075	0.125	0	0.1
0.99005	0.125	0	0.1
0.995025	0.125	0	0.1
